id,title,description,availability,condition,price,link,image_link,additional_image_link,brand,mpn,google_product_category,product_type,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4
SRC-121,Swift Racing Shell 121-* - Single Scull,"Swift Racing Shell 121-*, Single Scull (1x), designed for crews averaging 50-65 kg (110-143 lb). Length 745 cm; waterline beam 25 cm. New boat built to order. Construction grade, riggers, shoes, colours and accessories can be configured. Contact Swift Racing Canada for a quote and ordering guidance.",preorder,new,,https://swiftracingcanada.ca/contact/?boat=SRC-121,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-121.jpg,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-121-2.jpg,Swift Racing,121-*,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Rowing Boats,Boats > Flatwater Racing Shells > Single Scull,Flatwater Racing Shells,1x,50-65 kg,Contact for quote,2026 catalogue
SRC-109L,Swift Racing Shell 109L- - Single Scull,"Swift Racing Shell 109L-, Single Scull (1x), designed for crews averaging 55-65 kg (121-143 lb). Length 790 cm; waterline beam 25.1 cm. New boat built to order. Construction grade, riggers, shoes, colours and accessories can be configured. Contact Swift Racing Canada for a quote and ordering guidance.",preorder,new,,https://swiftracingcanada.ca/contact/?boat=SRC-109L,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-109l.jpg,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-109l-2.jpg,Swift Racing,109L-,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Rowing Boats,Boats > Flatwater Racing Shells > Single Scull,Flatwater Racing Shells,1x,55-65 kg,Contact for quote,2026 catalogue
SRC-122,Swift Racing Shell 122-* - Single Scull,"Swift Racing Shell 122-*, Single Scull (1x), designed for crews averaging 60-75 kg (132-165 lb). Length 802 cm; waterline beam 25.8 cm. New boat built to order. Construction grade, riggers, shoes, colours and accessories can be configured. Contact Swift Racing Canada for a quote and ordering guidance.",preorder,new,,https://swiftracingcanada.ca/contact/?boat=SRC-122,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-122.jpg,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-122-2.jpg,Swift Racing,122-*,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Rowing Boats,Boats > Flatwater Racing Shells > Single Scull,Flatwater Racing Shells,1x,60-75 kg,Contact for quote,2026 catalogue
SRC-109H,Swift Racing Shell 109H- - Single Scull,"Swift Racing Shell 109H-, Single Scull (1x), designed for crews averaging 65-75 kg (143-165 lb). Length 790 cm; waterline beam 25.8 cm. New boat built to order. Construction grade, riggers, shoes, colours and accessories can be configured. Contact Swift Racing Canada for a quote and ordering guidance.",preorder,new,,https://swiftracingcanada.ca/contact/?boat=SRC-109H,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-109h.jpg,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-109h-2.jpg,Swift Racing,109H-,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Rowing Boats,Boats > Flatwater Racing Shells > Single Scull,Flatwater Racing Shells,1x,65-75 kg,Contact for quote,2026 catalogue
SRC-123,Swift Racing Shell 123-* - Single Scull,"Swift Racing Shell 123-*, Single Scull (1x), designed for crews averaging 70-85 kg (154-187 lb). Length 805 cm; waterline beam 25.8 cm. New boat built to order. Construction grade, riggers, shoes, colours and accessories can be configured. Contact Swift Racing Canada for a quote and ordering guidance.",preorder,new,,https://swiftracingcanada.ca/contact/?boat=SRC-123,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-123.jpg,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-123-2.jpg,Swift Racing,123-*,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Rowing Boats,Boats > Flatwater Racing Shells > Single Scull,Flatwater Racing Shells,1x,70-85 kg,Contact for quote,2026 catalogue
SRC-127,Swift Racing Shell 127-* - Single Scull,"Swift Racing Shell 127-*, Single Scull (1x), designed for crews averaging 75-85 kg (154-187 lb). Length 789 cm; waterline beam 26 cm. New boat built to order. Construction grade, riggers, shoes, colours and accessories can be configured. Contact Swift Racing Canada for a quote and ordering guidance.",preorder,new,,https://swiftracingcanada.ca/contact/?boat=SRC-127,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-127.jpg,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-127-2.jpg,Swift Racing,127-*,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Rowing Boats,Boats > Flatwater Racing Shells > Single Scull,Flatwater Racing Shells,1x,75-85 kg,Contact for quote,2026 catalogue
SRC-124,Swift Racing Shell 124-* - Single Scull,"Swift Racing Shell 124-*, Single Scull (1x), designed for crews averaging 75-90 kg (165-198 lb). Length 804 cm; waterline beam 26.5 cm. New boat built to order. Construction grade, riggers, shoes, colours and accessories can be configured. Contact Swift Racing Canada for a quote and ordering guidance.",preorder,new,,https://swiftracingcanada.ca/contact/?boat=SRC-124,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-124.jpg,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-124-2.jpg,Swift Racing,124-*,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Rowing Boats,Boats > Flatwater Racing Shells > Single Scull,Flatwater Racing Shells,1x,75-90 kg,Contact for quote,2026 catalogue
SRC-125L,Swift Racing Shell 125L-* - Single Scull,"Swift Racing Shell 125L-*, Single Scull (1x), designed for crews averaging 85-100 kg (187-220 lb). Length 826 cm; waterline beam 28.3 cm. New boat built to order. Construction grade, riggers, shoes, colours and accessories can be configured. Contact Swift Racing Canada for a quote and ordering guidance.",preorder,new,,https://swiftracingcanada.ca/contact/?boat=SRC-125L,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-125l.jpg,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-125l-2.jpg,Swift Racing,125L-*,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Rowing Boats,Boats > Flatwater Racing Shells > Single Scull,Flatwater Racing Shells,1x,85-100 kg,Contact for quote,2026 catalogue
SRC-125H,Swift Racing Shell 125H- - Single Scull,"Swift Racing Shell 125H-, Single Scull (1x), designed for crews averaging 95-110 kg (187-220 lb). Length 826 cm; waterline beam 28.3 cm. New boat built to order. Construction grade, riggers, shoes, colours and accessories can be configured. Contact Swift Racing Canada for a quote and ordering guidance.",preorder,new,,https://swiftracingcanada.ca/contact/?boat=SRC-125H,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-125h.jpg,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-125h-2.jpg,Swift Racing,125H-,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Rowing Boats,Boats > Flatwater Racing Shells > Single Scull,Flatwater Racing Shells,1x,95-110 kg,Contact for quote,2026 catalogue
SRC-221,Swift Racing Shell 221-* - Double Scull / Pair,"Swift Racing Shell 221-*, Double Scull / Pair (2x/-), designed for crews averaging 50-65 kg (110-143 lb). Length 926 cm; waterline beam 29.5 cm. New boat built to order. Construction grade, riggers, shoes, colours and accessories can be configured. Contact Swift Racing Canada for a quote and ordering guidance.",preorder,new,,https://swiftracingcanada.ca/contact/?boat=SRC-221,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-221.jpg,https://YOUR-GITHUB-USERNAME.github.io/swift-meta-catalog/images/src-221-2.jpg,Swift Racing,221-*,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Rowing Boats,Boats > Flatwater Racing Shells > Double Scull / Pair,Flatwater Racing Shells,2x/-,50-65 kg,Contact for quote,2026 catalogue
